time_s,ax,ay,az,gx_cal,gy_cal,gz_cal,mx,my,mz
0.008,-9.6,0.612,0.115,-0.388,-0.011,-0.037,-64.0,225.0,-324.0
0.009,-9.485,0.268,-0.115,-0.458,-0.15,0.032,-63.0,225.0,-324.0
0.009,-9.523,0.574,0.076,-0.249,-0.22,0.171,-64.0,224.0,-324.0
0.01,-9.982,0.765,0.191,-0.597,-0.011,-0.037,-64.0,224.0,-324.0
0.01,-9.753,0.688,0.268,-0.458,-0.081,-0.037,-65.0,226.0,-324.0
0.011,-9.6,0.344,0.153,-0.527,-0.15,-0.037,-65.0,225.0,-324.0
0.011,-9.6,0.803,0.191,-0.319,0.058,-0.107,-64.0,225.0,-325.0
0.011,-9.523,0.306,-0.153,-0.319,0.058,-0.107,-63.0,225.0,-324.0
0.012,-9.867,0.421,-0.076,-0.249,-0.081,-0.107,-63.0,225.0,-324.0
0.012,-9.714,0.497,0.076,-0.527,0.058,-0.107,-64.0,225.0,-324.0
0.013,-9.523,0.421,0.0,-0.11,-0.011,-0.246,-64.0,226.0,-324.0
0.014,-9.638,0.497,0.0,-0.319,0.058,-0.107,-64.0,226.0,-323.0
0.014,-9.6,0.497,0.191,-0.319,-0.15,0.241,-64.0,226.0,-324.0
0.014,-9.791,0.727,0.076,-0.319,-0.081,0.032,-64.0,226.0,-324.0
0.015,-9.676,0.535,0.0,-0.179,0.058,-0.176,-65.0,225.0,-324.0
0.015,-9.37,0.535,-0.153,-0.458,-0.22,0.171,-63.0,224.0,-324.0
0.016,-9.638,0.574,0.382,-0.388,-0.081,-0.037,-66.0,226.0,-324.0
0.016,-9.714,0.612,0.038,-0.179,0.267,0.032,-64.0,225.0,-324.0
0.017,-9.791,0.688,0.497,-0.319,-0.011,-0.037,-64.0,225.0,-324.0
0.017,-9.829,0.574,0.038,-0.388,0.058,-0.037,-63.0,225.0,-324.0
0.017,-9.753,0.65,0.191,-0.458,-0.081,-0.037,-63.0,225.0,-324.0
0.018,-9.485,0.535,0.191,-0.597,-0.081,-0.037,-64.0,225.0,-325.0
0.018,-9.791,0.574,0.115,-0.388,-0.15,-0.176,-64.0,224.0,-325.0
0.019,-9.561,0.65,0.344,-0.249,-0.011,-0.246,-64.0,224.0,-325.0
